type,state,source_id,number,opened_at,category,short_description,ci
,Declined,,EXP00000459,2023-05-26 20:26:00,Travel,Automatically generated asset for travel equipment,Portable GPS Device
,Processed,,EXP00000460,2023-11-16 03:34:00,Travel,Travel expense for portable projectors,Canon Rayo i5 Mini Projector
,Processed,PCV-48645515,EXP00000461,2023-10-29 00:07:00,Services,Database for managed Service Asset,Oracle 12C Database
,Pending,TTQ-62021778,EXP00000462,2024-01-08 11:25:00,Services,Managed Service for Cloud Asset,Azure Server 201
,Processed,GMJ-45363552,EXP00000463,2023-08-05 11:52:00,Assets,Automatically generated asset record for company hardware,Dell Precision T3610
,Processed,,EXP00000464,2023-02-08 10:35:00,Miscellaneous,Miscellaneous hardware component added to asset list,Raspberry Pi 4 Model B
,Processed,ZOA-40589632,EXP00000465,2024-04-20 16:03:00,Services,New Service Asset Generated,Microsoft Office 365 subscription
,Submitted,YKZ-36245836,EXP00000466,2023-04-23 13:00:00,Assets,Data center server hardware asset,Dell PowerEdge R740 Server
,Processed,,EXP00000467,2023-03-23 23:06:00,Miscellaneous,Miscellaneous hardware asset added,Dell Latitude 7400
,Processed,,EXP00000468,2023-04-10 07:51:00,Miscellaneous,Automatically generated asset entry for Miscellaneous category,Miscellaneous equipment #123
,Pending,SDO-29949644,EXP00000469,2023-05-25 09:19:00,Assets,Dell Latitude 5501 laptop registered as new hardware asset,Dell Latitude 5501
,Processed,,EXP00000470,2024-01-10 19:22:00,Miscellaneous,Automatically generated expense line for creation of miscellaneous asset,Miscellaneous Server 210
,Processed,HNP-18700019,EXP00000471,2024-04-08 12:46:00,Assets,Asset procurement for office infrastructure,Dell OptiPlex 3070 Micro
,Pending,TCS-65873462,EXP00000472,2023-09-11 01:53:00,Assets,Acquisition of new hardware asset,Dell OptiPlex 9020
,Processed,QUO-88730821,EXP00000473,2023-02-01 21:29:00,Services,Asset creation for service infrastructure,Cloud Server instance
,Processed,,EXP00000474,2023-11-17 09:32:00,Miscellaneous,Miscellaneous hardware asset allocation,HP EliteBook 840
,Processed,,EXP00000475,2023-03-01 04:28:00,Travel,Travel related expense for laptop purchase,Dell Latitude 7300
,Processed,KHS-97109837,EXP00000476,2023-12-13 14:32:00,Services,Automatically generated expense line for creation of service asset,Service Cluster Node 7
,Pending,UWW-61944388,EXP00000477,2024-04-04 13:09:00,Services,Automatically assigned service for asset creation,Enterprise Database Service
,Processed,TRO-80692313,EXP00000478,2024-03-16 03:49:00,Services,Creation of virtual service assets,Cloud Service Database
,Processed,XVR-83808483,EXP00000479,2023-10-22 06:55:00,Assets,Server hardware asset created in Datacenter,Dell PowerEdge R640
,Declined,UNF-81739793,EXP00000480,2023-05-14 16:17:00,Assets,Automated entry for new hardware asset,Dell Optiplex 7090 Desktop
,Processed,SHZ-75270125,EXP00000481,2023-04-14 23:08:00,Assets,HP EliteDesk 800 G5 Desktop acquisition,HP EliteDesk 800 G5
,Pending,DEN-73104437,EXP00000482,2023-07-19 04:16:00,Services,Configuration and setup of new service,Amazon Web Services
,Processed,EKC-93373303,EXP00000483,2024-04-07 13:58:00,Services,Service - Web Server Maintenance,Internal Server S1
,Processed,RYU-48173988,EXP00000484,2023-11-27 22:16:00,Services,Automatically generated asset for service provisioning,Cloud Service Instance
,Processed,QTC-04367652,EXP00000485,2023-06-21 23:28:00,Assets,Hardware asset registration for new equipment,Dell Latitude 5511
,Processed,,EXP00000486,2023-09-26 07:37:00,Travel,Travel equipment asset creation,Portable GPS Navigator
,Processed,NAU-81174222,EXP00000487,2024-03-08 22:56:00,Services,Provisioning of new Web Service,Apache Web Server
,Processed,JBY-01469996,EXP00000488,2024-01-30 06:12:00,Assets,Asset purchase - Dell OptiPlex 3070 Desktop,Dell OptiPlex 3070
,Submitted,ZEE-85001494,EXP00000489,2023-08-08 04:11:00,Services,Automated record for service-based asset,Cloud Service Subscription
,Declined,JFG-58156200,EXP00000490,2023-06-29 18:47:00,Assets,Automatically generated expense line for creation of asset,Dell Latitude 7490
,Processed,HEL-20533296,EXP00000491,2024-03-25 20:39:00,Services,Automated service asset description,Office365 Subscription
,Processed,,EXP00000492,2023-06-07 23:22:00,Miscellaneous,Automated asset entry for Miscellaneous items,Projector Promethean PRM-45
,Processed,VUS-19224494,EXP00000493,2023-07-15 06:55:00,Services,Provisioning of new ServiceNow instance,Cloud Services
,Processed,LRY-95662258,EXP00000494,2023-07-03 06:54:00,Assets,HP ProBook 450 G7 laptop added to assets,HP ProBook 450 G7
,Processed,,EXP00000495,2023-06-11 11:46:00,Travel,Automatically generated asset for Travel Department,Travel Itinerary Software
,Processed,POT-30822593,EXP00000496,2023-03-09 19:59:00,Assets,Creation of new IT asset,Lenovo ThinkPad L13
,Submitted,,EXP00000497,2024-03-23 00:26:00,Miscellaneous,Asset creation for miscellaneous category,Miscellaneous Equipment 4C4A
,Pending,OCR-80770328,EXP00000498,2023-02-23 00:54:00,Services,Managed service SQL Database,SQL Server Service 2021
,Processed,FFS-75428156,EXP00000499,2023-05-07 00:28:00,Services,Virtual Services Setup for Software Improvement,Cloud-Based Server 102
